Tweet Id,Text,Username,Noisy,Location,Name,User_Id,Year,sentiment,sentimentclass,sentimentnum,Gender
9.4725586567714e+17,I just read ur twitter comments on ur acct u have huge trump balls talking abt maturity What r u U definitely are NOT smarter than a th grader BTW u really ought to educate urself abortions are fully funded by contributions not federal funds Shows u know jack,kathy_tkat,abortion,"Massachusetts, USA",Kathy,7.266529974686106e+17,2017,"{'neg': 0.046, 'neu': 0.86, 'pos': 0.093, 'compound': 0.3653}",positive,2,female
9.472486966595296e+17,I live in a country where abortion is illegal and women have tragically died unnecessarily due to complications because the doctors were too afraid to terminate the pregnancy to save her life lest they face prosecution themselves Abortion is healthcare,belindacree,abortion,Northern Ireland,Belinda,139375450.0,2017,"{'neg': 0.27, 'neu': 0.669, 'pos': 0.061, 'compound': -0.8979}",negative,1,female
9.472428550090834e+17,If the administration manages to outlaw abortion I m going to grad school for obstetrics gynechology to personally spite him,Bouteloua_spp,abortion,None of your god damn business,Michelle,205493148.0,2017,"{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.5267}",negative,1,female
9.472394628614636e+17,I dont put my hat in the abortion discussion much but I think categorizing it as mass murder or genocide is just odd Like its not a person or group of people conspiring and working together Its people making hard choices and it can be tragic but its not malicious,DerekTheBard,abortion,"Elmira, NY",Derek,1539154003.0,2017,"{'neg': 0.238, 'neu': 0.71, 'pos': 0.051, 'compound': -0.9161}",negative,1,male
9.472300039887626e+17,To those saying Life begins at conception I say take care of those that are born with healthcare food stamps welfare AIDS programs Medicaid Medicare Soc Security quality and free education Do this first Then we can discuss your anti abortion theories I am prochoice,Deborahtaxi,abortion,"New York, USA",Debbie,143478523.0,2017,"{'neg': 0.044, 'neu': 0.785, 'pos': 0.17, 'compound': 0.765}",positive,2,female
9.472280705318872e+17,No I support a man who one ultimately wants to assist Christians who are being persecuted Two has a vice president who loves the Lord Jesus Three has put in place more accountability to have an abortion and four is assisting Israel to defend itself better All glory to God,ejlawann,abortion,"Wollongong, New South Wales",John,7.502478368689398e+17,2017,"{'neg': 0.109, 'neu': 0.694, 'pos': 0.197, 'compound': 0.7537}",positive,2,male
9.472279457009664e+17,Do the anti abortion supporters know about this They are totally committed to saving each and every baby Sarcasm,amnarch,abortion,Inhabitant of Earth,Antoinette,164022076.0,2017,"{'neg': 0.171, 'neu': 0.612, 'pos': 0.216, 'compound': 0.2716}",positive,2,female
9.472278850725356e+17,I think the argument is that calling it a genocide is hardly accurate A genocide is a concentrated effort to eliminate a large group of people based on a social or cultural background The number of abortions is more of a stand alone complex,DerekTheBard,abortion,"Elmira, NY",Derek,1539154003.0,2017,"{'neg': 0.096, 'neu': 0.876, 'pos': 0.028, 'compound': -0.4939}",negative,1,male
9.472223704519352e+17,If it doesnt affect you in any way then who cares Just like abortion or gay marriage none of those things affect us,BeccaFossum,abortion,"Dubuque, IA",Becca,286970141.0,2017,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.6705}",positive,2,female
9.472221855460024e+17,Twitter guess what im pro life abortion is murder a holocaust on unborn children and Any doctor who assists in this murder should be hanged by the state at a public gallows I guess this tweet will be censored as not agreeable to your abominable agenda,TroyMMay2,abortion,"Callahan, FL",Lawrence,8.364011983831286e+17,2017,"{'neg': 0.253, 'neu': 0.747, 'pos': 0.0, 'compound': -0.9355}",negative,1,male
9.472184923523524e+17,Jesus never said a thing about abortion or homosexuality The OT amp Paul had lots to say about the latter but not the former Go figure,SusanTPohlmann,abortion,Joan of Arc Island,Susan,1210056858.0,2017,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0,female
9.472175351198802e+17,If you prioritize the environment you d be better off voting Dem unless and until GOPs get their ish together amp start caring too If you still vote R you re signaling that other issues guns abortion whatever are more important to you Vote D amp let Rs know why,InfoSecAdrian,abortion,"North Carolina, USA",Adrian,4839140537.0,2017,"{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.8016}",positive,2,male
9.472107914340228e+17,You have a little more than one day to be an inaugural member of NNAF For you get an amazing soft t shirt and you can anchor that membership to for maximum local abortion support,oohgoodness,abortion,"Twin Peaks, WA",Ashley,161111597.0,2017,"{'neg': 0.0, 'neu': 0.835, 'pos': 0.165, 'compound': 0.7579}",positive,2,female
9.472053881596356e+17,Never blame a child I blame the adult Now tell me your views on abortion,susieque155,abortion,Georgia,Susan,326448522.0,2017,"{'neg': 0.138, 'neu': 0.746, 'pos': 0.117, 'compound': -0.0936}",negative,1,female
9.471997591142604e+17,I have no respect for women who drink smoke amp pop pills while pregnant If you want an abortion fine Abusing your body out of selfishness is absolutely cruel Go to fucking hell,landonjay,abortion,United States,Landon,833435694.0,2017,"{'neg': 0.372, 'neu': 0.561, 'pos': 0.067, 'compound': -0.9445}",negative,1,male
9.471925245900145e+17,Study India Performs Million Abortions per Year tcot,SweetFreedom29,abortion,"Freedom, USA",Sharon,314243234.0,2017,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0,female
9.471910414377329e+17,I believe that abortion should be legal and rare Birth control and sex education should be universal Abortion should be completed as soon as possible Ultimately its the womens choice Im pro choice not pro abortion,rage1resist,abortion,"Washington, USA",Don,8.134241238335037e+17,2017,"{'neg': 0.0, 'neu': 0.959, 'pos': 0.041, 'compound': 0.128}",positive,2,male
9.471869533253344e+17,By your rationale everyone now are pro abortion murder One day youll look back and be ashamed you didnt stand up for the smallest among us,michellmybell1,abortion,United States,Michele,7.992587184456499e+17,2017,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.8316}",negative,1,female
9.471859013225472e+17,Longstanding Planned Parenthood Abortion Clinic Closes in Iowa Breitbart via,mjssny,abortion,Missouri,Mike,317299055.0,2017,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0,male
9.471840754328494e+17,Abortion is healthcare A legal choice to terminate a pregnancy Why do you get a say,rage1resist,abortion,"Washington, USA",Don,8.134241238335037e+17,2017,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.128}",positive,2,male
9.471817363115048e+17,Lets revisit the abortion issue when the US gets its act together and cares about pregnant women babies and families Instead of missiles and fighter aircraft,rage1resist,abortion,"Washington, USA",Don,8.134241238335037e+17,2017,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.5574}",positive,2,male
9.47180292040745e+17,Abortion is murder Abortion is murder Abortion is murder Abortion is murder Abortion is murder Abortion is murder Abortion is murder Abortion is murder Abortion is murder Abortion is murder Abortion is murder Abortion is murder Abortion is murder Did you get it Doubt it,MOLON_LABE_1,abortion,"Tennessee, USA",Bruce,2398346662.0,2017,"{'neg': 0.672, 'neu': 0.328, 'pos': 0.0, 'compound': -0.997}",negative,1,male
9.47179016083116e+17,No tax dollars should ever go to abortion in any way shape or form Go fund it yourself,2handedbanana,abortion,Ohio,John,2638516523.0,2017,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",negative,1,male
9.471727656852234e+17,Jesus my spelling sucks today Oh well I thought of Yentl and what a celluoid abortion that was so my writing skills took a hit Damn you Barbara You re an amazing singer but stop volunteering your political opinon do what you do best,Flanagan72John,abortion,United States,Johnny,7.81046754049491e+17,2017,"{'neg': 0.118, 'neu': 0.702, 'pos': 0.18, 'compound': 0.6542}",positive,2,male
9.471717490236252e+17,Longstanding Planned Parenthood Abortion Clinic Closes in Iowa Breitbart via,JeffWoke,abortion, USA,Jeff,7.421063493503427e+17,2017,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral,0,male
9.471685801766624e+17,So vote for abortion for a candidate whose enemies due mysteriously when they know too much who kisses up to Putin with our uranium pays for dossier on opponent lies cheats and takes money from her charitable foundation and on and on Pfft,Whosaclown,abortion,"Texas, USA",Gayle,9.282778851518874e+17,2017,"{'neg': 0.167, 'neu': 0.72, 'pos': 0.114, 'compound': -0.4215}",negative,1,female
9.471682940706364e+17,Yeah they wanted a cake that supports something they dont believe in What if I walked into a Feminists shop and wanted an anti abortion cake This is fucking politics stop acting like your beliefs are law and the only way,jgoldman33,abortion,"Minnesota, USA",Jordan,772792938.0,2017,"{'neg': 0.1, 'neu': 0.75, 'pos': 0.15, 'compound': 0.3446}",positive,2,male
9.47167162644525e+17,Study Most post abortive women say abortion had no positive effect on their lives,zonlyone,abortion,"Orange County, CA",Tammy,24753990.0,2017,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.4449}",negative,1,female
